album_name,artist_name,release_date,album_artwork_url,,album_type,,
Kelma ( Intro Of El Harsha El Sabaa Series),Massar Egbari,26/03/2023,https://i.scdn.co/image/ab67616d0000b273460fdff2ccc0391021e2160f,,single,,
ولعانه,Ahmed Mekky,02/03/2023,https://i.scdn.co/image/ab67616d0000b273f0b4ccface77e9de7573ef99,,single,,
بيتنا (تتر مسلسل العيلة دي),Hisham Abbas,23/02/2023,https://i.scdn.co/image/ab67616d0000b27350ed6f3bf93b85cbb07bbd6c,,single,,
بابا المجال,Hoda Bondok,28/03/2023,https://i.scdn.co/image/ab67616d0000b2737d72afd86115149edc735641,,single,,
جعفر العمدة (تتر بداية المسلسل),Ahmed Saad,01/04/2023,https://i.scdn.co/image/ab67616d0000b2739c968e783b206e9aec7ed579,,single,,
Ahy Donia,Ahmed Sheba,21/03/2023,https://i.scdn.co/image/ab67616d0000b2739e42bbaab25c95f3c29558d0,,single,,
اكسلانس,Mohamed Saad,24/03/2023,https://i.scdn.co/image/ab67616d0000b2738ff1cc53c1bde1b0b96e2cb3,,single,,
عملة نادرة (تتر بداية المسلسل),Mohamed Mounir,01/04/2023,https://i.scdn.co/image/ab67616d0000b273cf72643135876e753fa8a686,,single,,
Search & Rescue,Drake,07/04/2023,https://i.scdn.co/image/ab67616d0000b2734f23ba89857ce6c9fb5c232e,,single,,
Baby Don't Hurt Me,David Guetta,06/04/2023,https://i.scdn.co/image/ab67616d0000b2731744248a6fd87af0769d7073,,single,,
All Of The Girls You Loved Before,Taylor Swift,23/08/2019,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,,single,,
LELLY YAH,Marwan Pablo,13/03/2023,https://i.scdn.co/image/ab67616d0000b273aabf2f3ed036c5a0ab15750b,,single,,
Ana Qader From Gafar El Omda Series,Ahmed Saad,12/03/2023,https://i.scdn.co/image/ab67616d0000b2737922fe9545edff4d4c0f9829,,single,,
Msh Bastana,FL EX,14/03/2023,https://i.scdn.co/image/ab67616d0000b273c965572acb964232d0d8ee6d,,single,,
مسا مسا علي عينك يا عنيا,Essam Sasa,15/03/2023,https://i.scdn.co/image/ab67616d0000b273d9bcbef799f2b608a706f1af,,single,,
How I'm Feeling Now,Lewis Capaldi,17/03/2023,https://i.scdn.co/image/ab67616d0000b2738f6c43260dcaf0f4ba4e1f5c,,single,,
نسينا نعيش,Angham,26/02/2023,https://i.scdn.co/image/ab67616d0000b27324e7ff0769d0d893f4dd773e,,single,,
BAHZ,Afroto,02/03/2023,https://i.scdn.co/image/ab67616d0000b27375127b2bd11e5118619413d1,,single,,
Red Ruby Da Sleeze,Nicki Minaj,03/03/2023,https://i.scdn.co/image/ab67616d0000b273064c51559ea4a86bd557a86f,,single,,
Ountha,Bigsam,28/02/2023,https://i.scdn.co/image/ab67616d0000b2730a048e4bd3117652f4383591,,single,,
Here We Go Again,Oliver Tree,03/03/2023,https://i.scdn.co/image/ab67616d0000b2732d81b0bc54b1c1efb6f1b492,,single,,
يلا ندي للي باعنا بوسة,Essam Sasa,02/03/2023,https://i.scdn.co/image/ab67616d0000b273d8e7465ddac17024d0c68bf5,,single,,
Shokr Khas,Bahaa Sultan,23/02/2023,https://i.scdn.co/image/ab67616d0000b27343af0cb305067346c6ba08c4,,single,,
Bataleny,Moustafa Hagag,23/02/2023,https://i.scdn.co/image/ab67616d0000b2736dfed512ec52e78616fc7285,,single,,
Akhro Noor,Abo El Anwar,22/02/2023,https://i.scdn.co/image/ab67616d0000b273d963b99b97eb18efb1110a1d,,album,,
Die 4 Me,Halsey,24/02/2023,https://i.scdn.co/image/ab67616d0000b2739f5694123ca83b1d87a568c3,,single,,
MAÑANA SERÁ BONITO,KAROL G,24/02/2023,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,,album,,
Ela 7aden Ma,Abu,22/02/2023,https://i.scdn.co/image/ab67616d0000b273bc403b2f22e21aef0fc40d36,,single,,
W Ba3deen,Sharmoofers,22/02/2023,https://i.scdn.co/image/ab67616d0000b2737557df83fae9afdf5839fc04,,single,,
Ader Akmel,Ahmed Saad,14/02/2023,https://i.scdn.co/image/ab67616d0000b27308e552ba2c5414b3e36861b0,,single,,
Baad Montasaf Al Leil,Ahmed Kamel,16/02/2023,https://i.scdn.co/image/ab67616d0000b27387e6ba76951698e37542bba3,,single,,
خليني شوية معاك,Angham,14/02/2023,https://i.scdn.co/image/ab67616d0000b2731c77168ce487affe52ee2c98,,single,,
Or2os,Ahmed Helmy,16/02/2023,https://i.scdn.co/image/ab67616d0000b2730532140891d9f4d1448714e4,,single,,
A&W,Lana Del Rey,14/02/2023,https://i.scdn.co/image/ab67616d0000b273612a8360d16a1bece398c594,,single,,
When I Get There,P!nk,14/02/2023,https://i.scdn.co/image/ab67616d0000b273b9c4800b596cd5f34ca2644d,,single,,
Sad Khana,Nabil,14/02/2023,https://i.scdn.co/image/ab67616d0000b27363d0c6debab686f89855514b,,single,,
Special (feat. SZA),Lizzo,09/02/2023,https://i.scdn.co/image/ab67616d0000b273b9041796cb2839e2e89e3ea6,,single,,
عاملة ايه ؟؟,Ramy Gamal,06/02/2023,https://i.scdn.co/image/ab67616d0000b2736cb15556c580800c4fe9ccd7,,single,,
Kids Are Growing Up (Part 1),The Kid LAROI,10/02/2023,https://i.scdn.co/image/ab67616d0000b27310ad10968dc7e5cb86f68627,,single,,
حارة السقايين,3enba,05/02/2023,https://i.scdn.co/image/ab67616d0000b273187e9c99dd6ab9f549e504e0,,single,,
Share3 El 100,Double Zuksh,07/02/2023,https://i.scdn.co/image/ab67616d0000b27343f23ac9ab1be441df15d4cf,,single,,
Fe Einy,Mohammed Saeed,30/01/2023,https://i.scdn.co/image/ab67616d0000b27367f50dc902688f7bd32ff333,,single,,
Nassaba,Mohamed Ramadan,01/02/2023,https://i.scdn.co/image/ab67616d0000b273816765a070503c764e9b745e,,single,,
Ayesh Fel Dabab,Nabil,29/01/2023,https://i.scdn.co/image/ab67616d0000b273174747d0e546d47fc6e38c97,,single,,
Like A Saviour,Ellie Goulding,01/02/2023,https://i.scdn.co/image/ab67616d0000b2734de65cbc01aaeec2055c89ab,,single,,
My 21st Century Blues,RAYE,03/02/2023,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f,,album,,
Betseeri El Gadal,Sharmoofers,01/02/2023,https://i.scdn.co/image/ab67616d0000b2731d3e916c47d33aa5e810ca2c,,single,,
Flowers,Miley Cyrus,13/01/2023,https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d,,single,,
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,20/11/2022,https://i.scdn.co/image/ab67616d0000b273ef57183066d6cac0cabb85c6,,single,,
Ba2eit Ghareeb,Massar Egbari,21/11/2022,https://i.scdn.co/image/ab67616d0000b27332dd3b1e2068bb0b4076fed8,,single,,
